Date,Close/Last,Volume,Open,High,Low,SameDay_Binary,PreviousDay_Binary,SameDay_Percentage,PreviousDay_Percentage
19/09/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,0
20/09/2021,134.31,4770651,133.9,135.18,132.78,1,1,0,1
21/09/2021,132.97,4074528,135.11,135.65,132.94,0,0,-1,-1
22/09/2021,134.63,3602416,133.72,135.37,133.47,1,1,1,0
23/09/2021,136.73,3013238,135.25,137.42,135.03,1,1,1,1
24/09/2021,137.49,2964397,137.03,138.48,136.75,1,1,0,1
25/09/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,-1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
